Team,Timestamp,Scout,HARDWARE Floor Intake,HARDWARE Drivetrain,AUTO Level,AUTO Strategy Comments,TELEOP Where They Shoot,TELEOP Strategy Comments,END GAME Highest Climb,END GAME Climb Comments,DEFENSE Shown,DEFENSE Comments,Additional Notes
1011,03-24-2022,Meh,True,Standard 6/8 wheel,Unknown ,,Unknown ,,Unknown ,,False,,Last minute construction in pit
1245,03-24-2022,NG MEH,True,Omni/Mecanum,1-Taxi only,They got stuck on another robot during auto. (MEH) They say 2 Cargo but haven't tested.,Upper Hub only,,Mid,Went in after the 30sec mark. Barely got off the ground. They weren't level when trying to climb. ,False,,Slow moving
1245,03-25-2022,MH,True,Unknown ,3-Shoot + Taxi only (1 Cargo),,Upper Hub only,Manual aim only,Mid,Not attempted in Q1,False,,Their intake is not efficient and could cause penalties
1303,03-24-2022,NG MEH,True,Omni/Mecanum,Unknown ,,Upper Hub only,,Mid,,False,,Didn't move.  (MEH) Having problems passing inspection
1332,03-24-2022,CM MM NG MEH,True,Standard 6/8 wheel,1-Taxi only,Not sure they went far enough. (MEH) They say 1 Cargo shoot and taxi. They claim 18 with light defense.,Lower Hub only ,"Shoots from right up against hub
NG - shooting from a little bit back from the hub, inside the tarmac tape",Mid,Surprisingly fast for a screw drive,True,(MEH) 8 motors on chassis. 90 lbs. Very fast. Control may be a problem.,
1339,03-17-2022,JB MEH NG,True,Swerve ,5-More than 2 Cargo combination,"(NG) Saw 2 ball auto. Didn't shoot 2nd ball until after Autonomous.

4 Ball. They do have a 4 cargo auto but their timing is close on whether the last two make it during Autonomous period.",Upper Hub only,"Must shoot from the base of the hub.

(NG) For every two balls shot one bounces out.",Traversal ,"Takes a awhile to get there(20-30 seconds). Driving for alignment needs improvement.

(NG) Started too late and only made to high bar.",True,"Did incur penalties. Was able to bump an opponent so they missed shots.
(MEH) No. Top heavy.",(MEH) Faster
1410,03-24-2022,Meh,True,Standard 6/8 wheel,4-Shoot + Taxi + Intake (2 Cargo max),,Lower Hub only ,,Traversal ,35 sec,True,,
159,03-24-2022,MN,True,Standard 6/8 wheel,3-Shoot + Taxi only (1 Cargo),,Upper Hub only,,High,,False,,Cycle time to shoot was long. 
159,03-24-2022,NG KG,True,Standard 6/8 wheel,1-Taxi only,Didn't quite leave tarmac,Upper Hub only,"Attempts take long time, don't stay in
Ball fell out of the intake a couple times.",Mid,"Fast climb, dropped down, then went back up",False,Didn't this match,KG_Stopped part way( battery fell out)
1619,03-16-2022,JB,True,Swerve ,5-More than 2 Cargo combination,Setup on the opposite side as the hangar in their Alliance's tarmac.,Upper Hub only,They like the launchpad when heavily defended.  Otherwise typically just outside the tarmac.  They go to the opposite side of the field to gather cargo.,Traversal ,15 sec climb. They go into the Hangar with 30 seconds remaining.,False,Never seen them play defense.,
1619,03-24-2022,NG,True,Swerve ,5-More than 2 Cargo combination,Shoot preloaded. Pick up and shoot 2. Pickup and shoot  ball by terminal and human player ball. I think 2 went in,Upper Hub only,A little more than half of balls go in.  Intake is not reliable in PM 29.  They were chasing balls down after hitting them.,Unknown ,Didn't try to climb,False,,
1799,03-24-2022,NG MM JB,True,Standard 6/8 wheel,0-No movement ,(JB) Taxied on PM 23. ,Lower Hub only ,,Low,Not successful. Extended to climb far outside of the hangar area but they were probably in the height limit.,False,,"Slow. Intake is poor. 

Fell over at start of teleop

(JB) Tipped over in PM 23 at beginning of teleop."
1977,03-24-2022,"Meh
",True,Standard 6/8 wheel,4-Shoot + Taxi + Intake (2 Cargo max),Upper Hub,Anywhere,Upper priority,Mid,Quick,True,75 lbs,"1st event. Doesn't look rugged or reliable
"
1977,03-24-2022,NG,True,Standard 6/8 wheel,1-Taxi only,Looked like they were trying to shoot,Upper Hub only,,Mid,"Didn't get hooked on the bar, looked like they were trying to get on mod",False,,Slow. Most shots were single balls.
2036,03-24-2022,NG JB,True,Standard 6/8 wheel,0-No movement ,Didn't move. Took awhile to start moving after teleop started,Upper Hub only,Intake not great. Average speed. ,None,Did not attempt in PM 26.,False,,"Slow

(JB) Jerky movements.  Two bars stick out from frame perimeter that could cause penalties if get within another bot's frame perimeter."
2083,03-24-2022,MN-JB,True,Standard 6/8 wheel,0-No movement ,,Unknown ,(JB) Not sure what they were trying for upper or lower.  In between. Very hard time intaking balls.  Unable to shoot two at a time and looks like second ball gets stuck.,Mid,(JB) Went early.,False,,Broke down for entire match. (JB) Very slow drivers.  
